contact_name,title,jurisdiction,email,source_url,why_they_matter,single_ask,priority_tier
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Teaneck, Bergen County",TO VERIFY,BLOCKED see sources.md,Spectrum has operated in Teaneck since 2006 and runs 1 facility here (Teaneck ATC). The administrator or clerk holds the list of municipally owned property and the housing element.,"A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,"Director, Community Development, the office that administers CDBG and HOME",Bergen County,TO VERIFY,BLOCKED see sources.md,"Spectrum runs 19 facilities across 14 municipalities in Bergen County. Spectrum has never received CDBG or HOME funding, so this is the single largest untapped source in the campaign.",A 20 minute call about a CDBG or HOME set aside for accessible and special needs housing.,Tier 2
TO VERIFY,"Director, Community Development, the office that administers CDBG and HOME",Middlesex County,TO VERIFY,BLOCKED see sources.md,"Spectrum runs 4 facilities across 1 municipalities in Middlesex County. Spectrum has never received CDBG or HOME funding, so this is the single largest untapped source in the campaign.",A 20 minute call about a CDBG or HOME set aside for accessible and special needs housing.,Tier 2
TO VERIFY,"Director, Community Development, the office that administers CDBG and HOME",Passaic County,TO VERIFY,BLOCKED see sources.md,"Spectrum runs 4 facilities across 3 municipalities in Passaic County. Spectrum has never received CDBG or HOME funding, so this is the single largest untapped source in the campaign.",A 20 minute call about a CDBG or HOME set aside for accessible and special needs housing.,Tier 2
TO VERIFY,Mayor,"North Haledon, Passaic County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in North Haledon since 1989 and runs 1 facility here (N. Haledon ATC). N. Haledon ATC is an Adult Training Center owned by a church, not by Spectrum, so there is a live property need here.",A 20 minute call about renting underused municipal space for the Adult Training Center.,Tier 1
TO VERIFY,Mayor,"Teaneck, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Teaneck since 2006 and runs 1 facility here (Teaneck ATC). Teaneck ATC is an Adult Training Center owned by a church, not by Spectrum, so there is a live property need here.",A 20 minute call about renting underused municipal space for the Adult Training Center.,Tier 1
TO VERIFY,County Executive or County Administrator,Bergen County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 19 facilities across 14 municipalities in Bergen County. Sets county priorities and can direct a land or funding contribution.,A 20 minute call about a county role in the high needs medical group home.,Tier 2
TO VERIFY,"Director, Human Services",Bergen County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 19 facilities across 14 municipalities in Bergen County. Owns the county relationship with the population Spectrum serves and can validate need in a funding application.,An introductory meeting on unmet residential need for medically fragile adults.,Tier 2
TO VERIFY,"Director, Planning Department",Bergen County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 19 facilities across 14 municipalities in Bergen County. Holds county land records needed to identify surplus county property.,A list of county owned surplus parcels suitable for residential reuse.,Tier 2
TO VERIFY,"Executive Director, county housing authority, correct entity to be identified",Bergen County,TO VERIFY,BLOCKED see sources.md,"Spectrum runs 19 facilities across 14 municipalities in Bergen County. Housing authorities control existing units and rehab pipelines, the fastest route to accessible set aside units.",A 20 minute call about accessible unit set asides and rehab partnership.,Tier 2
TO VERIFY,County Executive or County Administrator,Middlesex County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 4 facilities across 1 municipalities in Middlesex County. Sets county priorities and can direct a land or funding contribution.,A 20 minute call about a county role in the high needs medical group home.,Tier 2
TO VERIFY,"Director, Human Services",Middlesex County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 4 facilities across 1 municipalities in Middlesex County. Owns the county relationship with the population Spectrum serves and can validate need in a funding application.,An introductory meeting on unmet residential need for medically fragile adults.,Tier 2
TO VERIFY,"Director, Planning Department",Middlesex County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 4 facilities across 1 municipalities in Middlesex County. Holds county land records needed to identify surplus county property.,A list of county owned surplus parcels suitable for residential reuse.,Tier 2
TO VERIFY,"Executive Director, county housing authority, correct entity to be identified",Middlesex County,TO VERIFY,BLOCKED see sources.md,"Spectrum runs 4 facilities across 1 municipalities in Middlesex County. Housing authorities control existing units and rehab pipelines, the fastest route to accessible set aside units.",A 20 minute call about accessible unit set asides and rehab partnership.,Tier 2
TO VERIFY,County Executive or County Administrator,Passaic County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 4 facilities across 3 municipalities in Passaic County. Sets county priorities and can direct a land or funding contribution.,A 20 minute call about a county role in the high needs medical group home.,Tier 2
TO VERIFY,"Director, Human Services",Passaic County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 4 facilities across 3 municipalities in Passaic County. Owns the county relationship with the population Spectrum serves and can validate need in a funding application.,An introductory meeting on unmet residential need for medically fragile adults.,Tier 2
TO VERIFY,"Director, Planning Department",Passaic County,TO VERIFY,BLOCKED see sources.md,Spectrum runs 4 facilities across 3 municipalities in Passaic County. Holds county land records needed to identify surplus county property.,A list of county owned surplus parcels suitable for residential reuse.,Tier 2
TO VERIFY,"Executive Director, county housing authority, correct entity to be identified",Passaic County,TO VERIFY,BLOCKED see sources.md,"Spectrum runs 4 facilities across 3 municipalities in Passaic County. Housing authorities control existing units and rehab pipelines, the fastest route to accessible set aside units.",A 20 minute call about accessible unit set asides and rehab partnership.,Tier 2
TO VERIFY,Mayor,"Edison, Middlesex County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Edison since 1997 and runs 4 facilities here (Edison 100, Edison 300, Edison ATC, Edison Condos). Largest Spectrum footprint in its county, which makes it the strongest reference site.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Closter, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Closter since 1983 and runs 2 facilities here (Closter Apts., Closter ICF). Largest Spectrum footprint in its county, which makes it the strongest reference site.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Bergenfield, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Bergenfield since 1988 and runs 2 facilities here (Bergenfield (Respite), Guttenberg). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"River Vale, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in River Vale since 1990 and runs 2 facilities here (River Vale Apts., RVCO). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Glen Rock, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Glen Rock since 1993 and runs 2 facilities here (Glen Rock, Highwood). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Paramus, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Paramus since 1988 and runs 1 facility here (Paramus). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Northvale, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Northvale since 1988 and runs 1 facility here (Northvale). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Norwood, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Norwood since 1989 and runs 1 facility here (Norwood). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Ringwood, Passaic County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Ringwood since 2002 and runs 2 facilities here (Ringwood ATC, Ringwood Apts.). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Hillsdale, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Hillsdale since 1993 and runs 1 facility here (Hillsdale). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Wayne, Passaic County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Wayne since 1993 and runs 1 facility here (Wayne). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Haworth, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Haworth since 1996 and runs 1 facility here (Haworth). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Maywood, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Maywood since 1998 and runs 1 facility here (Maywood). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Elmwood Park, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Elmwood Park since 1999 and runs 1 facility here (Elmwood Park). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,Mayor,"Rockleigh, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Rockleigh since 1999 and runs 1 facility here (Rockleigh Apts.). Established local presence makes this a warm introduction, not a cold call.",A 20 minute call about siting the high needs medical group home on surplus municipal property.,Tier 1
TO VERIFY,"Municipal Administrator, or Clerk if the town has no administrator","Westwood, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Westwood since 1999 and runs 2 facilities here (Carver ATC, Westwood GH). The administrator or clerk holds the list of municipally owned property and the housing element. ON HOLD: unresolved Carver ATC lease conflict, see facilities.md. Do not contact until Antonio rules.","A copy of the housing element and fair share plan, and the adopted affordable housing trust fund spending plan.",Tier 1
TO VERIFY,Mayor,"Westwood, Bergen County",TO VERIFY,BLOCKED see sources.md,"Spectrum has operated in Westwood since 1999 and runs 2 facilities here (Carver ATC, Westwood GH). Carver ATC is owned by a private landlord, not Spectrum. ON HOLD: unresolved lease conflict, see facilities.md. Do not contact until Antonio rules.",A 20 minute call about renting underused municipal space for the Adult Training Center.,Tier 1
